timestamp,severity,rule,pid,process_name,path,action,message
2025-12-17T14:21:39.250089,INFO,ML_ANOMALY,12744,firefox.exe,,Whitelisted,ML behavioral anomaly (z=5.37)
2025-12-17T14:21:39.329186,WARNING,ML_ANOMALY,13940,ChatGPT.exe,,Score +10 (total 20),ML behavioral anomaly (z=5.33)
2025-12-17T14:21:39.382541,INFO,ML_ANOMALY,15920,msedge.exe,,Whitelisted,ML behavioral anomaly (z=3.76)
2025-12-17T14:21:41.056288,INFO,ML_ANOMALY,2412,Code.exe,,Whitelisted,ML behavioral anomaly (z=5.38)
2025-12-17T14:21:41.971917,INFO,ML_ANOMALY,18900,Code.exe,,Whitelisted,ML behavioral anomaly (z=5.38)
2025-12-17T14:21:44.324872,INFO,ML_ANOMALY,18900,Code.exe,,Whitelisted,ML behavioral anomaly (z=3.74)
2025-12-17T14:21:46.029661,INFO,ML_ANOMALY,5676,comet.exe,,Whitelisted,ML behavioral anomaly (z=3.67)
2025-12-17T14:21:46.400400,WARNING,ML_ANOMALY,16208,unsecapp.exe,,Score +10 (total 10),ML behavioral anomaly (z=5.39)
2025-12-17T14:21:48.840034,INFO,ML_ANOMALY,8544,Code.exe,,Whitelisted,ML behavioral anomaly (z=4.15)
2025-12-17T14:21:49.055506,WARNING,ML_ANOMALY,11216,SMΔRTP.exe,,Score +10 (total 10),ML behavioral anomaly (z=5.12)
2025-12-17T14:21:51.018022,WARNING,ML_ANOMALY,2996,SearchFilterHost.exe,,Score +10 (total 10),ML behavioral anomaly (z=5.39)
2025-12-17T14:21:51.618360,INFO,ML_ANOMALY,14900,firefox.exe,,Whitelisted,ML behavioral anomaly (z=4.94)
2025-12-17T14:21:53.160227,INFO,ML_ANOMALY,3484,comet.exe,,Whitelisted,ML behavioral anomaly (z=5.30)
2025-12-17T14:21:53.604965,INFO,ML_ANOMALY,8148,comet.exe,,Whitelisted,ML behavioral anomaly (z=4.18)
2025-12-17T14:21:53.642040,INFO,ML_ANOMALY,10192,comet.exe,,Whitelisted,ML behavioral anomaly (z=3.74)
2025-12-17T14:21:53.652886,INFO,ML_ANOMALY,11276,comet.exe,,Whitelisted,ML behavioral anomaly (z=4.98)
2025-12-17T14:21:53.679792,INFO,ML_ANOMALY,12156,comet.exe,,Whitelisted,ML behavioral anomaly (z=5.38)
2025-12-17T14:21:53.706708,INFO,ML_ANOMALY,13736,comet.exe,,Whitelisted,ML behavioral anomaly (z=5.38)
2025-12-17T14:21:53.738047,INFO,ML_ANOMALY,16080,comet.exe,,Whitelisted,ML behavioral anomaly (z=5.38)
2025-12-17T14:21:53.797133,INFO,ML_ANOMALY,18112,comet.exe,,Whitelisted,ML behavioral anomaly (z=5.38)
2025-12-17T14:21:53.797506,INFO,ML_ANOMALY,18284,comet.exe,,Whitelisted,ML behavioral anomaly (z=3.89)
2025-12-17T14:21:53.797715,INFO,ML_ANOMALY,18400,comet.exe,,Whitelisted,ML behavioral anomaly (z=5.38)
